[2026-04-03 13:02:36] === AlphaZero Loop Start (iteration=169, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-03 13:02:36] --- Iteration 169 (sims=64, global_step=168000) ---
[2026-04-03 13:02:36] Self-play start (m=16, c_visit=50.0)
   Compiling az-framework v0.1.0 (/workspaces/puyopuyo-ai/crates/az-framework)
   Compiling puyo-player v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-player)
   Compiling puyo-trainer v0.1.0 (/workspaces/puyopuyo-ai/crates/puyo/puyo-trainer)
    Finished `release` profile [optimized] target(s) in 54.14s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_169.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[  41/300] samples:   2002 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8060/7839 | 1.47 games/s | ETA: 176s
[  42/300] samples:   2052 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8960/7865 | 1.50 games/s | ETA: 171s
[  43/300] samples:   2102 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5560/7812 | 1.54 games/s | ETA: 167s
[  44/300] samples:   2152 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7910/7814 | 1.58 games/s | ETA: 163s
[  45/300] samples:   2202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6920/7794 | 1.61 games/s | ETA: 158s
[  46/300] samples:   2252 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9980/7842 | 1.65 games/s | ETA: 154s
[  47/300] samples:   2302 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7480/7834 | 1.68 games/s | ETA: 150s
[  48/300] samples:   2352 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9620/7871 | 1.72 games/s | ETA: 147s
[  49/300] samples:   2402 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5760/7828 | 1.75 games/s | ETA: 143s
[  50/300] samples:   2452 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8460/7841 | 1.79 games/s | ETA: 140s
[  51/300] samples:   2502 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6810/7820 | 1.82 games/s | ETA: 137s
[  52/300] samples:   2552 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7480/7814 | 1.86 games/s | ETA: 133s
[  53/300] samples:   2602 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8540/7828 | 1.89 games/s | ETA: 130s
[  54/300] samples:   2652 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8480/7840 | 1.93 games/s | ETA: 128s
[  55/300] samples:   2702 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 4860/7785 | 1.96 games/s | ETA: 125s
[  56/300] samples:   2752 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7260/7776 | 2.00 games/s | ETA: 122s
[  57/300] samples:   2802 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6960/7762 | 2.03 games/s | ETA: 120s
[  58/300] samples:   2852 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8120/7768 | 2.07 games/s | ETA: 117s
[  59/300] samples:   2902 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9280/7794 | 2.10 games/s | ETA: 115s
[  60/300] samples:   2952 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8080/7798 | 2.14 games/s | ETA: 112s
[  61/300] samples:   3002 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8520/7810 | 2.17 games/s | ETA: 110s
[  62/300] samples:   3052 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 11700/7873 | 2.21 games/s | ETA: 108s
[  63/300] samples:   3102 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8360/7881 | 2.24 games/s | ETA: 106s
[  64/300] samples:   3152 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9620/7908 | 2.28 games/s | ETA: 104s
[  65/300] samples:   3202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10360/7946 | 2.31 games/s | ETA: 102s
[  66/300] samples:   3252 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10200/7980 | 2.35 games/s | ETA: 100s
[  67/300] samples:   3302 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7840/7978 | 2.38 games/s | ETA: 98s
[  68/300] samples:   3352 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8160/7980 | 2.41 games/s | ETA: 96s
[  69/300] samples:   3402 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8940/7994 | 2.45 games/s | ETA: 94s
[  70/300] samples:   3452 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7400/7986 | 2.48 games/s | ETA: 93s
[  71/300] samples:   3502 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6020/7958 | 2.51 games/s | ETA: 91s
[  72/300] samples:   3552 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8180/7961 | 2.55 games/s | ETA: 89s
[  73/300] samples:   3602 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10080/7990 | 2.58 games/s | ETA: 88s
[  74/300] samples:   3652 | chain(game/max/avg): 2/5/3.6 | reward(game/avg): 5040/7950 | 2.62 games/s | ETA: 86s
[  75/300] samples:   3702 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9200/7967 | 2.65 games/s | ETA: 85s
[  76/300] samples:   3752 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10240/7997 | 2.69 games/s | ETA: 83s
[  77/300] samples:   3802 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9020/8010 | 2.72 games/s | ETA: 82s
[  78/300] samples:   3852 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7460/8003 | 2.75 games/s | ETA: 81s
[  79/300] samples:   3902 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6740/7987 | 2.79 games/s | ETA: 79s
[  80/300] samples:   3952 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10140/8014 | 2.82 games/s | ETA: 78s
[  81/300] samples:   4002 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8340/8018 | 2.85 games/s | ETA: 77s
[  82/300] samples:   4052 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7340/8010 | 2.89 games/s | ETA: 75s
[  83/300] samples:   4102 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9920/8033 | 2.92 games/s | ETA: 74s
[  84/300] samples:   4152 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7180/8023 | 2.96 games/s | ETA: 73s
[  85/300] samples:   4202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9420/8039 | 2.99 games/s | ETA: 72s
[  86/300] samples:   4252 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8860/8049 | 3.02 games/s | ETA: 71s
[  87/300] samples:   4302 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5220/8016 | 3.06 games/s | ETA: 70s
[  88/300] samples:   4352 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 9060/8028 | 3.09 games/s | ETA: 68s
[  89/300] samples:   4402 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8230/8030 | 3.13 games/s | ETA: 67s
[  90/300] samples:   4452 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8330/8034 | 3.16 games/s | ETA: 66s
[  91/300] samples:   4502 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10320/8059 | 3.19 games/s | ETA: 65s
[  92/300] samples:   4552 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9960/8079 | 3.23 games/s | ETA: 64s
[  93/300] samples:   4602 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7320/8071 | 3.26 games/s | ETA: 63s
[  94/300] samples:   4652 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10230/8094 | 3.30 games/s | ETA: 62s
[  95/300] samples:   4702 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7500/8088 | 3.33 games/s | ETA: 62s
[  96/300] samples:   4752 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7200/8079 | 3.37 games/s | ETA: 61s
[  97/300] samples:   4802 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9280/8091 | 3.40 games/s | ETA: 60s
[  98/300] samples:   4852 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7860/8089 | 3.43 games/s | ETA: 59s
[  99/300] samples:   4902 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9340/8101 | 3.47 games/s | ETA: 58s
[ 100/300] samples:   4952 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7800/8098 | 3.50 games/s | ETA: 57s
[ 101/300] samples:   4965 | chain(game/max/avg): 1/5/3.6 | reward(game/avg): 100/8019 | 3.12 games/s | ETA: 64s
[ 102/300] samples:   5015 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6160/8001 | 2.94 games/s | ETA: 67s
[ 103/300] samples:   5065 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8690/8008 | 2.86 games/s | ETA: 69s
[ 104/300] samples:   5096 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 2620/7956 | 2.77 games/s | ETA: 71s
[ 105/300] samples:   5126 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 4080/7919 | 2.78 games/s | ETA: 70s
[ 106/300] samples:   5160 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 5600/7897 | 2.73 games/s | ETA: 71s
[ 107/300] samples:   5202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6300/7882 | 2.54 games/s | ETA: 76s
[ 108/300] samples:   5252 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7140/7875 | 2.54 games/s | ETA: 76s
[ 109/300] samples:   5302 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7160/7869 | 2.51 games/s | ETA: 76s
[ 110/300] samples:   5352 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9740/7886 | 2.51 games/s | ETA: 76s
[ 111/300] samples:   5402 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9180/7897 | 2.52 games/s | ETA: 75s
[ 112/300] samples:   5452 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8550/7903 | 2.54 games/s | ETA: 74s
[ 113/300] samples:   5502 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8580/7909 | 2.56 games/s | ETA: 73s
[ 114/300] samples:   5552 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8480/7914 | 2.58 games/s | ETA: 72s
[ 115/300] samples:   5602 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6690/7903 | 2.61 games/s | ETA: 71s
[ 116/300] samples:   5652 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7080/7896 | 2.63 games/s | ETA: 70s
[ 117/300] samples:   5702 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 7500/7893 | 2.65 games/s | ETA: 69s
[ 118/300] samples:   5752 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6720/7883 | 2.66 games/s | ETA: 68s
[ 119/300] samples:   5802 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8500/7888 | 2.68 games/s | ETA: 68s
[ 120/300] samples:   5852 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9040/7898 | 2.70 games/s | ETA: 67s
[ 121/300] samples:   5902 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9560/7912 | 2.72 games/s | ETA: 66s
[ 122/300] samples:   5952 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7320/7907 | 2.74 games/s | ETA: 65s
[ 123/300] samples:   6002 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6840/7898 | 2.76 games/s | ETA: 64s
[ 124/300] samples:   6052 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 8060/7899 | 2.79 games/s | ETA: 63s
[ 125/300] samples:   6102 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9060/7909 | 2.81 games/s | ETA: 62s
[ 126/300] samples:   6152 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7300/7904 | 2.83 games/s | ETA: 62s
[ 127/300] samples:   6202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11080/7929 | 2.85 games/s | ETA: 61s
[ 128/300] samples:   6252 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7400/7925 | 2.87 games/s | ETA: 60s
[ 129/300] samples:   6302 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8460/7929 | 2.89 games/s | ETA: 59s
[ 130/300] samples:   6352 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9150/7938 | 2.91 games/s | ETA: 58s
[ 131/300] samples:   6402 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10160/7955 | 2.94 games/s | ETA: 58s
[ 132/300] samples:   6452 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8220/7957 | 2.96 games/s | ETA: 57s
[ 133/300] samples:   6502 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9840/7971 | 2.98 games/s | ETA: 56s
[ 134/300] samples:   6552 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6340/7959 | 3.00 games/s | ETA: 55s
[ 135/300] samples:   6602 | chain(game/max/avg): 5/5/3.6 | reward(game/avg): 11960/7989 | 3.02 games/s | ETA: 55s
[ 136/300] samples:   6652 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5800/7973 | 3.04 games/s | ETA: 54s
[ 137/300] samples:   6702 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8480/7976 | 3.06 games/s | ETA: 53s
[ 138/300] samples:   6752 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10320/7993 | 3.08 games/s | ETA: 53s
[ 139/300] samples:   6802 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9620/8005 | 3.11 games/s | ETA: 52s
[ 140/300] samples:   6852 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7740/8003 | 3.13 games/s | ETA: 51s
[ 141/300] samples:   6902 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7380/7999 | 3.15 games/s | ETA: 51s
[ 142/300] samples:   6952 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9440/8009 | 3.17 games/s | ETA: 50s
[ 143/300] samples:   7002 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9560/8020 | 3.19 games/s | ETA: 49s
[ 144/300] samples:   7052 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6080/8006 | 3.21 games/s | ETA: 49s
[ 145/300] samples:   7102 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 11280/8029 | 3.23 games/s | ETA: 48s
[ 146/300] samples:   7152 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7310/8024 | 3.25 games/s | ETA: 47s
[ 147/300] samples:   7202 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8560/8028 | 3.28 games/s | ETA: 47s
[ 148/300] samples:   7252 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 7140/8022 | 3.30 games/s | ETA: 46s
[ 149/300] samples:   7302 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6620/8012 | 3.32 games/s | ETA: 46s
[ 150/300] samples:   7352 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10960/8032 | 3.34 games/s | ETA: 45s
[ 151/300] samples:   7402 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8300/8034 | 3.36 games/s | ETA: 44s
[ 152/300] samples:   7452 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8260/8035 | 3.38 games/s | ETA: 44s
[ 153/300] samples:   7502 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 10990/8054 | 3.41 games/s | ETA: 43s
[ 154/300] samples:   7552 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8220/8056 | 3.43 games/s | ETA: 43s
[ 155/300] samples:   7602 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8100/8056 | 3.45 games/s | ETA: 42s
[ 156/300] samples:   7652 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6960/8049 | 3.47 games/s | ETA: 42s
[ 157/300] samples:   7702 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8050/8049 | 3.49 games/s | ETA: 41s
[ 158/300] samples:   7752 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9110/8056 | 3.51 games/s | ETA: 40s
[ 159/300] samples:   7802 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8530/8058 | 3.53 games/s | ETA: 40s
[ 160/300] samples:   7852 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5880/8045 | 3.55 games/s | ETA: 39s
[ 161/300] samples:   7902 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6100/8033 | 3.57 games/s | ETA: 39s
[ 162/300] samples:   7952 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8120/8033 | 3.59 games/s | ETA: 38s
[ 163/300] samples:   8002 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7360/8029 | 3.61 games/s | ETA: 38s
[ 164/300] samples:   8052 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5740/8015 | 3.63 games/s | ETA: 37s
[ 165/300] samples:   8102 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9600/8025 | 3.65 games/s | ETA: 37s
[ 166/300] samples:   8152 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 6480/8016 | 3.68 games/s | ETA: 36s
[ 167/300] samples:   8202 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9240/8023 | 3.70 games/s | ETA: 36s
[ 168/300] samples:   8252 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 5400/8007 | 3.72 games/s | ETA: 35s
[ 169/300] samples:   8302 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7140/8002 | 3.74 games/s | ETA: 35s
[ 170/300] samples:   8352 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7460/7999 | 3.76 games/s | ETA: 35s
[ 171/300] samples:   8402 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8500/8002 | 3.78 games/s | ETA: 34s
[ 172/300] samples:   8452 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7220/7997 | 3.81 games/s | ETA: 34s
[ 173/300] samples:   8502 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8740/8002 | 3.83 games/s | ETA: 33s
[ 174/300] samples:   8552 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8360/8004 | 3.85 games/s | ETA: 33s
[ 175/300] samples:   8602 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8470/8006 | 3.87 games/s | ETA: 32s
[ 176/300] samples:   8652 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8000/8006 | 3.89 games/s | ETA: 32s
[ 177/300] samples:   8702 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7540/8004 | 3.91 games/s | ETA: 31s
[ 178/300] samples:   8752 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 7500/8001 | 3.93 games/s | ETA: 31s
[ 179/300] samples:   8802 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9760/8011 | 3.95 games/s | ETA: 31s
[ 180/300] samples:   8852 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 6540/8002 | 3.98 games/s | ETA: 30s
[ 181/300] samples:   8902 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9520/8011 | 4.00 games/s | ETA: 30s
[ 182/300] samples:   8952 | chain(game/max/avg): 4/5/3.5 | reward(game/avg): 9340/8018 | 4.01 games/s | ETA: 29s
[ 183/300] samples:   9002 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8330/8020 | 4.04 games/s | ETA: 29s
[ 184/300] samples:   9052 | chain(game/max/avg): 3/5/3.5 | reward(game/avg): 8160/8021 | 4.06 games/s | ETA: 29s
[ 185/300] samples:   9102 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9120/8027 | 4.08 games/s | ETA: 28s
[ 186/300] samples:   9152 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9820/8036 | 4.10 games/s | ETA: 28s
[ 187/300] samples:   9202 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 8730/8040 | 4.12 games/s | ETA: 27s
[ 188/300] samples:   9252 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8800/8044 | 4.14 games/s | ETA: 27s
[ 189/300] samples:   9302 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 6880/8038 | 4.16 games/s | ETA: 27s
[ 190/300] samples:   9352 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 9740/8047 | 4.18 games/s | ETA: 26s
[ 191/300] samples:   9402 | chain(game/max/avg): 4/5/3.6 | reward(game/avg): 8840/8051 | 4.20 games/s | ETA: 26s
[ 192/300] samples:   9452 | chain(game/max/avg): 3/5/3.6 | reward(game/avg): 7560/8048 | 4.22 games/s | ETA: 26s
