[2026-04-04 07:03:46] === AlphaZero Loop Start (iteration=360, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-04 07:03:46] --- Iteration 360 (sims=64, global_step=359000) ---
[2026-04-04 07:03:46] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 4.89s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_360.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from artifacts/puyo_model
Using 128 game threads, max_batch_size=128
[   1/300] samples:     12 | chain(game/max/avg): 1/1/1.0 | reward(game/avg): 40/40 | 0.09 games/s | ETA: 3343s
[   2/300] samples:     35 | chain(game/max/avg): 3/3/2.0 | reward(game/avg): 2560/1300 | 0.12 games/s | ETA: 2464s
[   3/300] samples:     85 | chain(game/max/avg): 4/4/2.7 | reward(game/avg): 7760/3453 | 0.10 games/s | ETA: 2971s
[   4/300] samples:    135 | chain(game/max/avg): 4/4/3.0 | reward(game/avg): 6700/4265 | 0.13 games/s | ETA: 2225s
[   5/300] samples:    185 | chain(game/max/avg): 3/4/3.0 | reward(game/avg): 4950/4402 | 0.17 games/s | ETA: 1787s
[   6/300] samples:    235 | chain(game/max/avg): 4/4/3.2 | reward(game/avg): 8540/5092 | 0.19 games/s | ETA: 1518s
[   7/300] samples:    285 | chain(game/max/avg): 4/4/3.3 | reward(game/avg): 11060/5944 | 0.23 games/s | ETA: 1300s
[   8/300] samples:    335 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 6420/6004 | 0.26 games/s | ETA: 1135s
[   9/300] samples:    385 | chain(game/max/avg): 3/4/3.3 | reward(game/avg): 6700/6081 | 0.29 games/s | ETA: 1006s
[  10/300] samples:    435 | chain(game/max/avg): 3/4/3.3 | reward(game/avg): 6760/6149 | 0.32 games/s | ETA: 903s
[  11/300] samples:    485 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 8670/6378 | 0.35 games/s | ETA: 818s
[  12/300] samples:    535 | chain(game/max/avg): 4/4/3.4 | reward(game/avg): 9100/6605 | 0.39 games/s | ETA: 748s
[  13/300] samples:    585 | chain(game/max/avg): 4/4/3.5 | reward(game/avg): 8940/6785 | 0.42 games/s | ETA: 691s
[  14/300] samples:    635 | chain(game/max/avg): 3/4/3.4 | reward(game/avg): 6900/6793 | 0.45 games/s | ETA: 642s
[  15/300] samples:    685 | chain(game/max/avg): 3/4/3.4 | reward(game/avg): 7620/6848 | 0.48 games/s | ETA: 598s
[  16/300] samples:    735 | chain(game/max/avg): 3/4/3.4 | reward(game/avg): 8860/6974 | 0.51 games/s | ETA: 559s
[  17/300] samples:    785 | chain(game/max/avg): 3/4/3.4 | reward(game/avg): 5620/6894 | 0.54 games/s | ETA: 525s
