[2026-03-29 21:46:35] === AlphaZero Loop Start (iteration=1, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-03-29 21:46:35] --- Iteration 1 (sims=64, global_step=0) ---
[2026-03-29 21:46:35] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 5.65s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_1.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Failed to load model from artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
Using 128 game threads, max_batch_size=128
[  44/300] samples:    179 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/13 | 5.42 games/s | ETA: 47s
[  45/300] samples:    185 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 40/14 | 5.52 games/s | ETA: 46s
[  46/300] samples:    191 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 100/16 | 5.63 games/s | ETA: 45s
[  47/300] samples:    198 | chain(game/max/avg): 1/1/0.3 | reward(game/avg): 80/17 | 5.58 games/s | ETA: 45s
[  48/300] samples:    205 | chain(game/max/avg): 2/2/0.4 | reward(game/avg): 360/24 | 5.60 games/s | ETA: 45s
[  49/300] samples:    211 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 100/26 | 5.67 games/s | ETA: 44s
[  50/300] samples:    218 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 80/27 | 5.77 games/s | ETA: 43s
[  51/300] samples:    221 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/26 | 5.88 games/s | ETA: 42s
[  52/300] samples:    228 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 80/27 | 5.95 games/s | ETA: 42s
[  53/300] samples:    233 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/28 | 6.05 games/s | ETA: 41s
[  54/300] samples:    240 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 100/29 | 6.14 games/s | ETA: 40s
[  55/300] samples:    248 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 220/32 | 6.20 games/s | ETA: 40s
[  56/300] samples:    251 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/32 | 6.21 games/s | ETA: 39s
[  57/300] samples:    260 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 140/34 | 6.31 games/s | ETA: 39s
[  58/300] samples:    266 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/34 | 6.33 games/s | ETA: 38s
[  59/300] samples:    272 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 40/34 | 6.41 games/s | ETA: 38s
[  60/300] samples:    281 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 120/35 | 6.40 games/s | ETA: 37s
[  61/300] samples:    284 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/35 | 6.41 games/s | ETA: 37s
[  62/300] samples:    287 | chain(game/max/avg): 0/2/0.4 | reward(game/avg): 0/34 | 6.30 games/s | ETA: 38s
[  63/300] samples:    296 | chain(game/max/avg): 1/2/0.4 | reward(game/avg): 80/35 | 6.38 games/s | ETA: 37s
[  64/300] samples:    305 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 80/36 | 6.45 games/s | ETA: 37s
[  65/300] samples:    311 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 40/36 | 6.35 games/s | ETA: 37s
[  66/300] samples:    321 | chain(game/max/avg): 2/2/0.5 | reward(game/avg): 760/47 | 6.41 games/s | ETA: 37s
[  67/300] samples:    329 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 140/48 | 6.40 games/s | ETA: 36s
[  68/300] samples:    339 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 120/49 | 6.44 games/s | ETA: 36s
[  69/300] samples:    349 | chain(game/max/avg): 2/2/0.5 | reward(game/avg): 580/57 | 6.46 games/s | ETA: 36s
[  70/300] samples:    354 | chain(game/max/avg): 1/2/0.5 | reward(game/avg): 40/57 | 6.33 games/s | ETA: 36s
[  71/300] samples:    365 | chain(game/max/avg): 2/2/0.5 | reward(game/avg): 440/62 | 6.35 games/s | ETA: 36s
[  72/300] samples:    376 | chain(game/max/avg): 2/2/0.6 | reward(game/avg): 440/67 | 6.36 games/s | ETA: 36s
[  73/300] samples:    388 | chain(game/max/avg): 2/2/0.6 | reward(game/avg): 460/73 | 6.36 games/s | ETA: 36s
[  74/300] samples:    399 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 180/74 | 6.42 games/s | ETA: 35s
[  75/300] samples:    411 | chain(game/max/avg): 2/2/0.6 | reward(game/avg): 620/81 | 6.45 games/s | ETA: 35s
[  76/300] samples:    423 | chain(game/max/avg): 2/2/0.6 | reward(game/avg): 620/88 | 6.48 games/s | ETA: 35s
[  77/300] samples:    433 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 180/90 | 6.55 games/s | ETA: 34s
[  78/300] samples:    436 | chain(game/max/avg): 0/2/0.6 | reward(game/avg): 0/88 | 6.53 games/s | ETA: 34s
[  79/300] samples:    448 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 120/89 | 6.56 games/s | ETA: 34s
[  80/300] samples:    456 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 80/89 | 6.64 games/s | ETA: 33s
[  81/300] samples:    469 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 200/90 | 6.67 games/s | ETA: 33s
[  82/300] samples:    481 | chain(game/max/avg): 1/2/0.6 | reward(game/avg): 160/91 | 6.72 games/s | ETA: 32s
[  83/300] samples:    494 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 420/95 | 6.79 games/s | ETA: 32s
[  84/300] samples:    504 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 460/99 | 6.86 games/s | ETA: 31s
[  85/300] samples:    516 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 220/101 | 6.79 games/s | ETA: 32s
[  86/300] samples:    527 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 460/105 | 6.84 games/s | ETA: 31s
[  87/300] samples:    530 | chain(game/max/avg): 0/2/0.7 | reward(game/avg): 0/104 | 6.88 games/s | ETA: 31s
[  88/300] samples:    539 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 120/104 | 6.83 games/s | ETA: 31s
[  89/300] samples:    552 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 220/105 | 6.89 games/s | ETA: 31s
[  90/300] samples:    559 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 80/105 | 6.81 games/s | ETA: 31s
[  91/300] samples:    568 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 400/108 | 6.88 games/s | ETA: 30s
[  92/300] samples:    580 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 220/109 | 6.96 games/s | ETA: 30s
[  93/300] samples:    586 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 100/109 | 7.02 games/s | ETA: 29s
[  94/300] samples:    589 | chain(game/max/avg): 0/2/0.7 | reward(game/avg): 0/108 | 7.07 games/s | ETA: 29s
[  95/300] samples:    592 | chain(game/max/avg): 0/2/0.7 | reward(game/avg): 0/107 | 6.99 games/s | ETA: 29s
[  96/300] samples:    595 | chain(game/max/avg): 0/2/0.7 | reward(game/avg): 0/106 | 7.06 games/s | ETA: 29s
[  97/300] samples:    607 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 440/109 | 7.11 games/s | ETA: 29s
[  98/300] samples:    610 | chain(game/max/avg): 0/2/0.7 | reward(game/avg): 0/108 | 7.05 games/s | ETA: 29s
[  99/300] samples:    624 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 260/110 | 7.12 games/s | ETA: 28s
[ 100/300] samples:    639 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 260/111 | 7.05 games/s | ETA: 28s
[ 101/300] samples:    648 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 120/111 | 7.00 games/s | ETA: 28s
[ 102/300] samples:    656 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 220/112 | 7.06 games/s | ETA: 28s
[ 103/300] samples:    671 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 800/119 | 7.11 games/s | ETA: 28s
[ 104/300] samples:    684 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 280/121 | 7.17 games/s | ETA: 27s
[ 105/300] samples:    695 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 440/124 | 6.98 games/s | ETA: 28s
[ 106/300] samples:    712 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 360/126 | 7.04 games/s | ETA: 28s
[ 107/300] samples:    717 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 40/125 | 6.89 games/s | ETA: 28s
[ 108/300] samples:    723 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 100/125 | 6.84 games/s | ETA: 28s
[ 109/300] samples:    733 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 400/127 | 6.76 games/s | ETA: 28s
