[2026-04-02 10:28:05] === AlphaZero Loop Start (iteration=1, games=300, sims=64+0/iter, max=64, min_chain=0) ===
[2026-04-02 10:28:05] --- Iteration 1 (sims=64, global_step=0) ---
[2026-04-02 10:28:05] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 7.14s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --output data/alphazero_iter_1.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Failed to load model from artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
Using 128 game threads, max_batch_size=128
[  44/300] samples:    274 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 760/126 | 3.48 games/s | ETA: 73s
[  45/300] samples:    287 | chain(game/max/avg): 2/2/0.7 | reward(game/avg): 740/140 | 3.54 games/s | ETA: 72s
[  46/300] samples:    293 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 40/138 | 3.56 games/s | ETA: 71s
[  47/300] samples:    307 | chain(game/max/avg): 1/2/0.7 | reward(game/avg): 320/142 | 3.62 games/s | ETA: 70s
[  48/300] samples:    321 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 600/151 | 3.66 games/s | ETA: 69s
[  49/300] samples:    335 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 600/160 | 3.72 games/s | ETA: 68s
[  50/300] samples:    350 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 260/162 | 3.67 games/s | ETA: 68s
[  51/300] samples:    365 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 320/165 | 3.59 games/s | ETA: 69s
[  52/300] samples:    381 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 920/180 | 3.66 games/s | ETA: 68s
[  53/300] samples:    397 | chain(game/max/avg): 1/2/0.8 | reward(game/avg): 320/183 | 3.71 games/s | ETA: 67s
[  54/300] samples:    415 | chain(game/max/avg): 2/2/0.8 | reward(game/avg): 560/190 | 3.77 games/s | ETA: 65s
[  55/300] samples:    431 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 600/197 | 3.84 games/s | ETA: 64s
[  56/300] samples:    447 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 640/205 | 3.84 games/s | ETA: 63s
[  57/300] samples:    463 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 580/212 | 3.91 games/s | ETA: 62s
[  58/300] samples:    471 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 140/210 | 3.96 games/s | ETA: 61s
[  59/300] samples:    482 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 180/210 | 3.94 games/s | ETA: 61s
[  60/300] samples:    491 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 120/208 | 3.98 games/s | ETA: 60s
[  61/300] samples:    495 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/205 | 3.82 games/s | ETA: 63s
[  62/300] samples:    499 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/202 | 3.84 games/s | ETA: 62s
[  63/300] samples:    502 | chain(game/max/avg): 0/2/0.9 | reward(game/avg): 0/198 | 3.89 games/s | ETA: 61s
[  64/300] samples:    522 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 880/209 | 3.94 games/s | ETA: 60s
[  65/300] samples:    540 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 940/220 | 3.97 games/s | ETA: 59s
[  66/300] samples:    555 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 520/225 | 3.90 games/s | ETA: 60s
[  67/300] samples:    573 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 400/227 | 3.94 games/s | ETA: 59s
[  68/300] samples:    595 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 720/235 | 3.90 games/s | ETA: 60s
[  69/300] samples:    618 | chain(game/max/avg): 2/2/0.9 | reward(game/avg): 780/243 | 3.80 games/s | ETA: 61s
[  70/300] samples:    642 | chain(game/max/avg): 1/2/0.9 | reward(game/avg): 460/246 | 3.78 games/s | ETA: 61s
[  71/300] samples:    666 | chain(game/max/avg): 2/2/1.0 | reward(game/avg): 800/254 | 3.84 games/s | ETA: 60s
[  72/300] samples:    687 | chain(game/max/avg): 2/2/1.0 | reward(game/avg): 1020/264 | 3.88 games/s | ETA: 59s
[  73/300] samples:    696 | chain(game/max/avg): 1/2/1.0 | reward(game/avg): 80/262 | 3.94 games/s | ETA: 58s
[  74/300] samples:    717 | chain(game/max/avg): 2/2/1.0 | reward(game/avg): 980/271 | 3.94 games/s | ETA: 57s
[  75/300] samples:    730 | chain(game/max/avg): 1/2/1.0 | reward(game/avg): 220/271 | 3.94 games/s | ETA: 57s
[  76/300] samples:    755 | chain(game/max/avg): 2/2/1.0 | reward(game/avg): 800/278 | 3.95 games/s | ETA: 57s
[  77/300] samples:    769 | chain(game/max/avg): 1/2/1.0 | reward(game/avg): 360/279 | 3.98 games/s | ETA: 56s
[  78/300] samples:    783 | chain(game/max/avg): 1/2/1.0 | reward(game/avg): 200/278 | 4.01 games/s | ETA: 55s
