[2026-04-07 14:11:58] Pre-building release binaries...
    Finished `release` profile [optimized] target(s) in 0.31s
[2026-04-07 14:11:59] === AlphaZero Loop Start (branch=rtx5090-4, run_dir=runs/rtx5090-4, iteration=1, games=3000x1gpu, sims=512+0/iter, max=512, min_chain=0, threads=1024) ===
[2026-04-07 14:11:59] --- Iteration 1 (sims=512, global_step=0) ---
[2026-04-07 14:11:59] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=3000, total=3000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 3000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 1024 --batch-size 4096 --num-leaves 1 --model-path runs/rtx5090-4/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 256 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 256 --film-hidden 256 --output runs/rtx5090-4/data/alphazero_iter_1_gpu0.bin`
[gpu0] games=3000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=256, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=256, film_hidden=256
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Failed to load model from runs/rtx5090-4/artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
[gpu0] Using 1024 game threads, max_batch_size=4096
[gpu0] [  33/3000] samples:   1650 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3990/3679 | 0.03 games/s | ETA: 101115s
[gpu0] [  34/3000] samples:   1700 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 4220/3695 | 0.03 games/s | ETA: 98108s
[gpu0] [  35/3000] samples:   1750 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3160/3679 | 0.03 games/s | ETA: 95273s
[gpu0] [  36/3000] samples:   1800 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3320/3669 | 0.03 games/s | ETA: 92595s
[gpu0] [  37/3000] samples:   1850 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3600/3668 | 0.03 games/s | ETA: 90062s
[gpu0] [  38/3000] samples:   1900 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 4220/3682 | 0.03 games/s | ETA: 87663s
[gpu0] [  39/3000] samples:   1950 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3860/3687 | 0.03 games/s | ETA: 85386s
[gpu0] [  40/3000] samples:   2000 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3660/3686 | 0.04 games/s | ETA: 83223s
[gpu0] [  41/3000] samples:   2050 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 4100/3696 | 0.04 games/s | ETA: 81166s
[gpu0] [  42/3000] samples:   2100 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 4090/3705 | 0.04 games/s | ETA: 79210s
[gpu0] [  43/3000] samples:   2150 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3380/3698 | 0.04 games/s | ETA: 77341s
[gpu0] [  44/3000] samples:   2200 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3830/3701 | 0.04 games/s | ETA: 75558s
[gpu0] [  45/3000] samples:   2250 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3440/3695 | 0.04 games/s | ETA: 73854s
[gpu0] [  46/3000] samples:   2300 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3380/3688 | 0.04 games/s | ETA: 72224s
[gpu0] [  47/3000] samples:   2350 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3100/3676 | 0.04 games/s | ETA: 70664s
[gpu0] [  48/3000] samples:   2400 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 3560/3673 | 0.04 games/s | ETA: 69168s
[gpu0] [  49/3000] samples:   2450 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 3630/3672 | 0.04 games/s | ETA: 67733s
[gpu0] [  50/3000] samples:   2500 | chain(game/max/avg): 2/5/2.6 | reward(game/avg): 2900/3657 | 0.04 games/s | ETA: 66356s
[gpu0] [  51/3000] samples:   2550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3650/3657 | 0.05 games/s | ETA: 65033s
[gpu0] [  52/3000] samples:   2600 | chain(game/max/avg): 3/5/2.6 | reward(game/avg): 4140/3666 | 0.05 games/s | ETA: 63763s
[gpu0] [  53/3000] samples:   2650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2540/3645 | 0.05 games/s | ETA: 62539s
[gpu0] [  54/3000] samples:   2700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3200/3637 | 0.05 games/s | ETA: 61360s
[gpu0] [  55/3000] samples:   2750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2560/3617 | 0.05 games/s | ETA: 60224s
[gpu0] [  56/3000] samples:   2800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3430/3614 | 0.05 games/s | ETA: 59128s
[gpu0] [  57/3000] samples:   2850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3430/3611 | 0.05 games/s | ETA: 58071s
[gpu0] [  58/3000] samples:   2900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2300/3588 | 0.05 games/s | ETA: 57051s
[gpu0] [  59/3000] samples:   2950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3820/3592 | 0.05 games/s | ETA: 56065s
[gpu0] [  60/3000] samples:   3000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3280/3587 | 0.05 games/s | ETA: 55112s
[gpu0] [  61/3000] samples:   3050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3760/3590 | 0.05 games/s | ETA: 54190s
[gpu0] [  62/3000] samples:   3100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4460/3604 | 0.06 games/s | ETA: 53298s
[gpu0] [  64/3000] samples:   3200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2760/3571 | 0.06 games/s | ETA: 51597s
[gpu0] [  63/3000] samples:   3150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2360/3584 | 0.06 games/s | ETA: 52434s
[gpu0] [  65/3000] samples:   3250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3820/3575 | 0.06 games/s | ETA: 50786s
[gpu0] [  66/3000] samples:   3300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3970/3581 | 0.06 games/s | ETA: 49999s
[gpu0] [  67/3000] samples:   3350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2060/3558 | 0.06 games/s | ETA: 49238s
[gpu0] [  68/3000] samples:   3400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4620/3574 | 0.06 games/s | ETA: 48497s
[gpu0] [  69/3000] samples:   3450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2920/3564 | 0.06 games/s | ETA: 47778s
[gpu0] [  70/3000] samples:   3500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2360/3547 | 0.06 games/s | ETA: 47080s
[gpu0] [  71/3000] samples:   3550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2520/3533 | 0.06 games/s | ETA: 46401s
[gpu0] [  72/3000] samples:   3600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3160/3527 | 0.06 games/s | ETA: 45741s
[gpu0] [  73/3000] samples:   3650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4440/3540 | 0.06 games/s | ETA: 45099s
[gpu0] [  74/3000] samples:   3700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3920/3545 | 0.07 games/s | ETA: 44474s
[gpu0] [  75/3000] samples:   3750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3280/3541 | 0.07 games/s | ETA: 43866s
[gpu0] [  76/3000] samples:   3800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2840/3532 | 0.07 games/s | ETA: 43274s
[gpu0] [  77/3000] samples:   3850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3940/3538 | 0.07 games/s | ETA: 42697s
[gpu0] [  78/3000] samples:   3900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2680/3527 | 0.07 games/s | ETA: 42136s
[gpu0] [  79/3000] samples:   3950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2860/3518 | 0.07 games/s | ETA: 41588s
[gpu0] [  80/3000] samples:   4000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2580/3506 | 0.07 games/s | ETA: 41054s
[gpu0] [  81/3000] samples:   4050 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 6380/3542 | 0.07 games/s | ETA: 40533s
[gpu0] [  82/3000] samples:   4100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3730/3544 | 0.07 games/s | ETA: 40025s
[gpu0] [  83/3000] samples:   4150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2860/3536 | 0.07 games/s | ETA: 39530s
[gpu0] [  84/3000] samples:   4200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3520/3536 | 0.07 games/s | ETA: 39046s
[gpu0] [  85/3000] samples:   4250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2890/3528 | 0.08 games/s | ETA: 38573s
[gpu0] [  86/3000] samples:   4300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4600/3541 | 0.08 games/s | ETA: 38111s
[gpu0] [  87/3000] samples:   4350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3580/3541 | 0.08 games/s | ETA: 37660s
[gpu0] [  88/3000] samples:   4400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4540/3552 | 0.08 games/s | ETA: 37220s
[gpu0] [  89/3000] samples:   4450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3700/3554 | 0.08 games/s | ETA: 36789s
[gpu0] [  90/3000] samples:   4500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3340/3552 | 0.08 games/s | ETA: 36368s
[gpu0] [  91/3000] samples:   4550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3930/3556 | 0.08 games/s | ETA: 35957s
[gpu0] [  92/3000] samples:   4600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3380/3554 | 0.08 games/s | ETA: 35554s
[gpu0] [  93/3000] samples:   4650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3220/3550 | 0.08 games/s | ETA: 35159s
[gpu0] [  94/3000] samples:   4700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4620/3562 | 0.08 games/s | ETA: 34773s
[gpu0] [  95/3000] samples:   4750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3640/3563 | 0.08 games/s | ETA: 34396s
[gpu0] [  96/3000] samples:   4800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3120/3558 | 0.09 games/s | ETA: 34026s
[gpu0] [  97/3000] samples:   4850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3400/3556 | 0.09 games/s | ETA: 33663s
[gpu0] [  98/3000] samples:   4900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3940/3560 | 0.09 games/s | ETA: 33308s
[gpu0] [  99/3000] samples:   4950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2500/3549 | 0.09 games/s | ETA: 32960s
[gpu0] [ 100/3000] samples:   5000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2280/3537 | 0.09 games/s | ETA: 32620s
[gpu0] [ 101/3000] samples:   5050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4320/3545 | 0.09 games/s | ETA: 32285s
