[2026-04-07 14:11:58] Pre-building release binaries...
    Finished `release` profile [optimized] target(s) in 0.31s
[2026-04-07 14:11:59] === AlphaZero Loop Start (branch=rtx5090-4, run_dir=runs/rtx5090-4, iteration=1, games=3000x1gpu, sims=512+0/iter, max=512, min_chain=0, threads=1024) ===
[2026-04-07 14:11:59] --- Iteration 1 (sims=512, global_step=0) ---
[2026-04-07 14:11:59] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=3000, total=3000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 3000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 1024 --batch-size 4096 --num-leaves 1 --model-path runs/rtx5090-4/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 256 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 256 --film-hidden 256 --output runs/rtx5090-4/data/alphazero_iter_1_gpu0.bin`
[gpu0] games=3000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=256, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=256, film_hidden=256
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Failed to load model from runs/rtx5090-4/artifacts/puyo_model: FileNotFound("No such file or directory (os error 2)"). Initializing random weights
[gpu0] Using 1024 game threads, max_batch_size=4096
[gpu0] [ 864/3000] samples:  43200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2410/3555 | 0.77 games/s | ETA: 2782s
[gpu0] [ 865/3000] samples:  43250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3580/3555 | 0.77 games/s | ETA: 2778s
[gpu0] [ 866/3000] samples:  43300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2940/3554 | 0.77 games/s | ETA: 2773s
[gpu0] [ 867/3000] samples:  43350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4640/3555 | 0.77 games/s | ETA: 2769s
[gpu0] [ 868/3000] samples:  43400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3160/3555 | 0.77 games/s | ETA: 2764s
[gpu0] [ 869/3000] samples:  43450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3640/3555 | 0.77 games/s | ETA: 2760s
[gpu0] [ 870/3000] samples:  43500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4200/3556 | 0.77 games/s | ETA: 2755s
[gpu0] [ 871/3000] samples:  43550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3000/3555 | 0.77 games/s | ETA: 2751s
[gpu0] [ 872/3000] samples:  43600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3800/3555 | 0.77 games/s | ETA: 2746s
[gpu0] [ 873/3000] samples:  43650 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5220/3557 | 0.78 games/s | ETA: 2742s
[gpu0] [ 874/3000] samples:  43700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2500/3556 | 0.78 games/s | ETA: 2738s
[gpu0] [ 875/3000] samples:  43750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5080/3558 | 0.78 games/s | ETA: 2733s
[gpu0] [ 876/3000] samples:  43800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3240/3558 | 0.78 games/s | ETA: 2729s
[gpu0] [ 877/3000] samples:  43850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3680/3558 | 0.78 games/s | ETA: 2724s
[gpu0] [ 878/3000] samples:  43900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2820/3557 | 0.78 games/s | ETA: 2720s
[gpu0] [ 879/3000] samples:  43950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3440/3557 | 0.78 games/s | ETA: 2716s
[gpu0] [ 880/3000] samples:  44000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3170/3556 | 0.78 games/s | ETA: 2711s
[gpu0] [ 881/3000] samples:  44050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2320/3555 | 0.78 games/s | ETA: 2707s
[gpu0] [ 882/3000] samples:  44100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2120/3553 | 0.78 games/s | ETA: 2703s
[gpu0] [ 883/3000] samples:  44150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4400/3554 | 0.78 games/s | ETA: 2698s
[gpu0] [ 884/3000] samples:  44200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3220/3554 | 0.79 games/s | ETA: 2694s
[gpu0] [ 885/3000] samples:  44250 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5720/3556 | 0.79 games/s | ETA: 2690s
[gpu0] [ 886/3000] samples:  44300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3560/3556 | 0.79 games/s | ETA: 2685s
[gpu0] [ 887/3000] samples:  44350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3920/3557 | 0.79 games/s | ETA: 2681s
[gpu0] [ 888/3000] samples:  44400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4070/3557 | 0.79 games/s | ETA: 2677s
[gpu0] [ 889/3000] samples:  44450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2440/3556 | 0.79 games/s | ETA: 2673s
[gpu0] [ 890/3000] samples:  44500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4540/3557 | 0.79 games/s | ETA: 2668s
[gpu0] [ 891/3000] samples:  44550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4580/3558 | 0.79 games/s | ETA: 2664s
[gpu0] [ 892/3000] samples:  44600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3360/3558 | 0.79 games/s | ETA: 2660s
[gpu0] [ 893/3000] samples:  44650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4400/3559 | 0.79 games/s | ETA: 2656s
[gpu0] [ 894/3000] samples:  44700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3200/3559 | 0.79 games/s | ETA: 2651s
[gpu0] [ 895/3000] samples:  44750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3100/3558 | 0.80 games/s | ETA: 2647s
[gpu0] [ 896/3000] samples:  44800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3000/3557 | 0.80 games/s | ETA: 2643s
[gpu0] [ 897/3000] samples:  44850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3380/3557 | 0.80 games/s | ETA: 2639s
[gpu0] [ 898/3000] samples:  44900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3220/3557 | 0.80 games/s | ETA: 2634s
[gpu0] [ 899/3000] samples:  44950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3500/3557 | 0.80 games/s | ETA: 2630s
[gpu0] [ 900/3000] samples:  45000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2480/3556 | 0.80 games/s | ETA: 2626s
[gpu0] [ 901/3000] samples:  45050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4620/3557 | 0.80 games/s | ETA: 2622s
[gpu0] [ 903/3000] samples:  45150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3270/3556 | 0.80 games/s | ETA: 2614s
[gpu0] [ 902/3000] samples:  45100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3100/3556 | 0.80 games/s | ETA: 2618s
[gpu0] [ 904/3000] samples:  45200 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4880/3557 | 0.80 games/s | ETA: 2610s
[gpu0] [ 905/3000] samples:  45250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4000/3558 | 0.80 games/s | ETA: 2605s
[gpu0] [ 906/3000] samples:  45300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3560/3558 | 0.80 games/s | ETA: 2601s
[gpu0] [ 907/3000] samples:  45350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3280/3558 | 0.81 games/s | ETA: 2597s
[gpu0] [ 908/3000] samples:  45400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4330/3558 | 0.81 games/s | ETA: 2593s
[gpu0] [ 909/3000] samples:  45450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3559 | 0.81 games/s | ETA: 2589s
[gpu0] [ 911/3000] samples:  45550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3720/3558 | 0.81 games/s | ETA: 2581s
[gpu0] [ 910/3000] samples:  45550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2840/3562 | 0.81 games/s | ETA: 2585s
[gpu0] [ 912/3000] samples:  45600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2920/3558 | 0.81 games/s | ETA: 2577s
[gpu0] [ 913/3000] samples:  45650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3480/3557 | 0.81 games/s | ETA: 2573s
[gpu0] [ 914/3000] samples:  45700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4150/3558 | 0.81 games/s | ETA: 2569s
[gpu0] [ 915/3000] samples:  45750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3320/3558 | 0.81 games/s | ETA: 2565s
[gpu0] [ 916/3000] samples:  45800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3558 | 0.81 games/s | ETA: 2561s
[gpu0] [ 917/3000] samples:  45850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3558 | 0.81 games/s | ETA: 2557s
[gpu0] [ 918/3000] samples:  45900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3100/3558 | 0.82 games/s | ETA: 2553s
[gpu0] [ 920/3000] samples:  46000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2060/3554 | 0.82 games/s | ETA: 2545s
[gpu0] [ 919/3000] samples:  45950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2060/3556 | 0.82 games/s | ETA: 2549s
[gpu0] [ 921/3000] samples:  46050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5540/3556 | 0.82 games/s | ETA: 2541s
[gpu0] [ 922/3000] samples:  46100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4120/3557 | 0.82 games/s | ETA: 2537s
[gpu0] [ 923/3000] samples:  46150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4240/3558 | 0.82 games/s | ETA: 2533s
[gpu0] [ 924/3000] samples:  46200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3280/3557 | 0.82 games/s | ETA: 2529s
[gpu0] [ 925/3000] samples:  46250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3400/3557 | 0.82 games/s | ETA: 2525s
[gpu0] [ 926/3000] samples:  46300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3200/3557 | 0.82 games/s | ETA: 2521s
[gpu0] [ 927/3000] samples:  46350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3700/3557 | 0.82 games/s | ETA: 2517s
[gpu0] [ 928/3000] samples:  46400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2220/3556 | 0.82 games/s | ETA: 2513s
[gpu0] [ 929/3000] samples:  46450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3740/3556 | 0.83 games/s | ETA: 2509s
[gpu0] [ 930/3000] samples:  46500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3060/3555 | 0.83 games/s | ETA: 2505s
[gpu0] [ 931/3000] samples:  46550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3240/3555 | 0.83 games/s | ETA: 2501s
[gpu0] [ 932/3000] samples:  46600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2580/3554 | 0.83 games/s | ETA: 2497s
[gpu0] [ 933/3000] samples:  46650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3040/3553 | 0.83 games/s | ETA: 2494s
[gpu0] [ 934/3000] samples:  46700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2980/3553 | 0.83 games/s | ETA: 2490s
[gpu0] [ 935/3000] samples:  46750 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3720/3553 | 0.83 games/s | ETA: 2486s
[gpu0] [ 936/3000] samples:  46800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3010/3552 | 0.83 games/s | ETA: 2482s
[gpu0] [ 938/3000] samples:  46900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4540/3553 | 0.83 games/s | ETA: 2474s
[gpu0] [ 940/3000] samples:  47000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5370/3555 | 0.84 games/s | ETA: 2467s
[gpu0] [ 939/3000] samples:  46950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3553 | 0.83 games/s | ETA: 2470s
[gpu0] [ 937/3000] samples:  46850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2740/3551 | 0.83 games/s | ETA: 2478s
[gpu0] [ 941/3000] samples:  47050 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3920/3555 | 0.84 games/s | ETA: 2463s
[gpu0] [ 942/3000] samples:  47100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3800/3555 | 0.84 games/s | ETA: 2459s
[gpu0] [ 943/3000] samples:  47150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3380/3555 | 0.84 games/s | ETA: 2455s
[gpu0] [ 944/3000] samples:  47200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4140/3556 | 0.84 games/s | ETA: 2451s
[gpu0] [ 945/3000] samples:  47250 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4280/3557 | 0.84 games/s | ETA: 2448s
[gpu0] [ 946/3000] samples:  47300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4380/3558 | 0.84 games/s | ETA: 2444s
[gpu0] [ 947/3000] samples:  47350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4520/3559 | 0.84 games/s | ETA: 2440s
[gpu0] [ 948/3000] samples:  47400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3840/3559 | 0.84 games/s | ETA: 2436s
[gpu0] [ 949/3000] samples:  47450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4980/3560 | 0.84 games/s | ETA: 2433s
[gpu0] [ 950/3000] samples:  47500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2980/3560 | 0.84 games/s | ETA: 2429s
[gpu0] [ 951/3000] samples:  47550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3560 | 0.84 games/s | ETA: 2425s
[gpu0] [ 952/3000] samples:  47600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4720/3561 | 0.85 games/s | ETA: 2421s
[gpu0] [ 953/3000] samples:  47650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3160/3561 | 0.85 games/s | ETA: 2418s
[gpu0] [ 954/3000] samples:  47700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3500/3561 | 0.85 games/s | ETA: 2414s
[gpu0] [ 955/3000] samples:  47750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3800/3561 | 0.85 games/s | ETA: 2410s
[gpu0] [ 956/3000] samples:  47800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4000/3562 | 0.85 games/s | ETA: 2407s
[gpu0] [ 957/3000] samples:  47850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4060/3562 | 0.85 games/s | ETA: 2403s
[gpu0] [ 958/3000] samples:  47900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3060/3562 | 0.85 games/s | ETA: 2399s
[gpu0] [ 959/3000] samples:  47950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3940/3562 | 0.85 games/s | ETA: 2396s
[gpu0] [ 960/3000] samples:  48000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4140/3563 | 0.85 games/s | ETA: 2392s
[gpu0] [ 961/3000] samples:  48050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 1960/3561 | 0.85 games/s | ETA: 2388s
[gpu0] [ 962/3000] samples:  48100 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 2760/3560 | 0.85 games/s | ETA: 2385s
[gpu0] [ 963/3000] samples:  48150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4080/3561 | 0.86 games/s | ETA: 2381s
[gpu0] [ 964/3000] samples:  48200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2740/3560 | 0.86 games/s | ETA: 2377s
[gpu0] [ 965/3000] samples:  48250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3040/3559 | 0.86 games/s | ETA: 2374s
[gpu0] [ 966/3000] samples:  48300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4200/3560 | 0.86 games/s | ETA: 2370s
[gpu0] [ 967/3000] samples:  48350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4160/3560 | 0.86 games/s | ETA: 2367s
[gpu0] [ 968/3000] samples:  48400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4360/3561 | 0.86 games/s | ETA: 2363s
[gpu0] [ 969/3000] samples:  48450 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4040/3562 | 0.86 games/s | ETA: 2359s
[gpu0] [ 970/3000] samples:  48500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3120/3561 | 0.86 games/s | ETA: 2356s
[gpu0] [ 971/3000] samples:  48550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4220/3562 | 0.86 games/s | ETA: 2352s
[gpu0] [ 972/3000] samples:  48600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3080/3562 | 0.86 games/s | ETA: 2349s
[gpu0] [ 973/3000] samples:  48650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3300/3561 | 0.86 games/s | ETA: 2345s
[gpu0] [ 974/3000] samples:  48700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 5220/3563 | 0.87 games/s | ETA: 2342s
[gpu0] [ 975/3000] samples:  48750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4040/3563 | 0.87 games/s | ETA: 2338s
[gpu0] [ 976/3000] samples:  48800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2860/3563 | 0.87 games/s | ETA: 2334s
[gpu0] [ 977/3000] samples:  48850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3220/3562 | 0.87 games/s | ETA: 2331s
[gpu0] [ 978/3000] samples:  48900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3880/3563 | 0.87 games/s | ETA: 2327s
[gpu0] [ 979/3000] samples:  48950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2700/3562 | 0.87 games/s | ETA: 2324s
[gpu0] [ 980/3000] samples:  49000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3040/3561 | 0.87 games/s | ETA: 2320s
[gpu0] [ 981/3000] samples:  49050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3710/3561 | 0.87 games/s | ETA: 2317s
[gpu0] [ 982/3000] samples:  49100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4220/3562 | 0.87 games/s | ETA: 2313s
[gpu0] [ 983/3000] samples:  49150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3080/3562 | 0.87 games/s | ETA: 2310s
[gpu0] [ 984/3000] samples:  49200 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3340/3561 | 0.87 games/s | ETA: 2306s
[gpu0] [ 985/3000] samples:  49250 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3000/3561 | 0.87 games/s | ETA: 2303s
[gpu0] [ 986/3000] samples:  49300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4840/3562 | 0.88 games/s | ETA: 2300s
[gpu0] [ 987/3000] samples:  49350 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5650/3564 | 0.88 games/s | ETA: 2296s
[gpu0] [ 988/3000] samples:  49400 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 7870/3569 | 0.88 games/s | ETA: 2293s
[gpu0] [ 989/3000] samples:  49450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2860/3568 | 0.88 games/s | ETA: 2289s
[gpu0] [ 990/3000] samples:  49500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3860/3568 | 0.88 games/s | ETA: 2286s
[gpu0] [ 991/3000] samples:  49550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3760/3568 | 0.88 games/s | ETA: 2282s
[gpu0] [ 992/3000] samples:  49600 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3620/3568 | 0.88 games/s | ETA: 2279s
[gpu0] [ 993/3000] samples:  49650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2780/3568 | 0.88 games/s | ETA: 2276s
[gpu0] [ 994/3000] samples:  49700 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2720/3567 | 0.88 games/s | ETA: 2272s
[gpu0] [ 995/3000] samples:  49750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3340/3567 | 0.88 games/s | ETA: 2269s
[gpu0] [ 996/3000] samples:  49800 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2360/3565 | 0.88 games/s | ETA: 2265s
[gpu0] [ 997/3000] samples:  49850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3540/3565 | 0.89 games/s | ETA: 2262s
[gpu0] [ 998/3000] samples:  49900 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3460/3565 | 0.89 games/s | ETA: 2259s
[gpu0] [ 999/3000] samples:  49950 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3560/3565 | 0.89 games/s | ETA: 2255s
[gpu0] [1000/3000] samples:  50000 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3380/3565 | 0.89 games/s | ETA: 2252s
[gpu0] [1001/3000] samples:  50050 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3565 | 0.45 games/s | ETA: 4475s
[gpu0] [1002/3000] samples:  50100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 5280/3567 | 0.45 games/s | ETA: 4470s
[gpu0] [1003/3000] samples:  50150 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4080/3567 | 0.45 games/s | ETA: 4466s
[gpu0] [1004/3000] samples:  50200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3160/3567 | 0.45 games/s | ETA: 4459s
[gpu0] [1005/3000] samples:  50250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3400/3567 | 0.45 games/s | ETA: 4453s
[gpu0] [1006/3000] samples:  50300 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3280/3566 | 0.45 games/s | ETA: 4446s
[gpu0] [1007/3000] samples:  50350 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 4000/3567 | 0.45 games/s | ETA: 4440s
[gpu0] [1008/3000] samples:  50400 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3900/3567 | 0.45 games/s | ETA: 4433s
[gpu0] [1009/3000] samples:  50450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3060/3567 | 0.45 games/s | ETA: 4426s
[gpu0] [1010/3000] samples:  50500 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3690/3567 | 0.45 games/s | ETA: 4420s
[gpu0] [1011/3000] samples:  50550 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2860/3566 | 0.45 games/s | ETA: 4413s
[gpu0] [1012/3000] samples:  50600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4720/3567 | 0.45 games/s | ETA: 4407s
[gpu0] [1013/3000] samples:  50650 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2760/3566 | 0.45 games/s | ETA: 4400s
[gpu0] [1014/3000] samples:  50700 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 4470/3567 | 0.45 games/s | ETA: 4394s
[gpu0] [1015/3000] samples:  50750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3600/3567 | 0.45 games/s | ETA: 4387s
[gpu0] [1016/3000] samples:  50800 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5520/3569 | 0.45 games/s | ETA: 4381s
[gpu0] [1017/3000] samples:  50850 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3180/3569 | 0.45 games/s | ETA: 4374s
[gpu0] [1018/3000] samples:  50900 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3780/3569 | 0.45 games/s | ETA: 4368s
[gpu0] [1019/3000] samples:  50950 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2980/3568 | 0.45 games/s | ETA: 4361s
[gpu0] [1020/3000] samples:  51000 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2980/3568 | 0.45 games/s | ETA: 4355s
[gpu0] [1021/3000] samples:  51050 | chain(game/max/avg): 4/5/2.5 | reward(game/avg): 5220/3569 | 0.46 games/s | ETA: 4348s
[gpu0] [1022/3000] samples:  51100 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 2360/3568 | 0.46 games/s | ETA: 4342s
[gpu0] [1023/3000] samples:  51150 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3568 | 0.46 games/s | ETA: 4336s
[gpu0] [1024/3000] samples:  51200 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3880/3568 | 0.46 games/s | ETA: 4329s
[gpu0] [1025/3000] samples:  51250 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3660/3568 | 0.46 games/s | ETA: 4323s
[gpu0] [1026/3000] samples:  51300 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4640/3570 | 0.46 games/s | ETA: 4316s
[gpu0] [1027/3000] samples:  51350 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4180/3570 | 0.46 games/s | ETA: 4310s
[gpu0] [1028/3000] samples:  51400 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3220/3570 | 0.46 games/s | ETA: 4304s
[gpu0] [1029/3000] samples:  51450 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3040/3569 | 0.46 games/s | ETA: 4297s
[gpu0] [1030/3000] samples:  51500 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3520/3569 | 0.46 games/s | ETA: 4291s
[gpu0] [1031/3000] samples:  51550 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4580/3570 | 0.46 games/s | ETA: 4285s
[gpu0] [1032/3000] samples:  51600 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3860/3570 | 0.46 games/s | ETA: 4278s
[gpu0] [1033/3000] samples:  51650 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4040/3571 | 0.46 games/s | ETA: 4272s
[gpu0] [1034/3000] samples:  51700 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3100/3570 | 0.46 games/s | ETA: 4266s
[gpu0] [1035/3000] samples:  51750 | chain(game/max/avg): 2/5/2.5 | reward(game/avg): 3420/3570 | 0.46 games/s | ETA: 4259s
[gpu0] [1036/3000] samples:  51800 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 4000/3571 | 0.46 games/s | ETA: 4253s
[gpu0] [1037/3000] samples:  51850 | chain(game/max/avg): 3/5/2.5 | reward(game/avg): 3620/3571 | 0.46 games/s | ETA: 4247s
