[2026-04-06 17:58:46] --- Iteration 101 (sims=512, global_step=100000) ---
[2026-04-06 17:58:46] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_101_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [  35/1000] samples:   1750 | chain(game/max/avg): 6/9/6.5 | reward(game/avg): 17380/24077 | 0.16 games/s | ETA: 6199s
[gpu0] [  36/1000] samples:   1800 | chain(game/max/avg): 5/9/6.4 | reward(game/avg): 13980/23797 | 0.16 games/s | ETA: 6023s
[gpu0] [  37/1000] samples:   1850 | chain(game/max/avg): 7/9/6.5 | reward(game/avg): 30300/23972 | 0.16 games/s | ETA: 5855s
[gpu0] [  38/1000] samples:   1900 | chain(game/max/avg): 6/9/6.4 | reward(game/avg): 23180/23952 | 0.17 games/s | ETA: 5695s
[gpu0] [  39/1000] samples:   1950 | chain(game/max/avg): 6/9/6.4 | reward(game/avg): 24820/23974 | 0.17 games/s | ETA: 5543s
[gpu0] [  40/1000] samples:   2000 | chain(game/max/avg): 6/9/6.4 | reward(game/avg): 15160/23754 | 0.18 games/s | ETA: 5399s
[gpu0] [  41/1000] samples:   2050 | chain(game/max/avg): 5/9/6.4 | reward(game/avg): 19200/23642 | 0.18 games/s | ETA: 5262s
[gpu0] [  42/1000] samples:   2100 | chain(game/max/avg): 5/9/6.4 | reward(game/avg): 19710/23549 | 0.19 games/s | ETA: 5132s
[gpu0] [  43/1000] samples:   2150 | chain(game/max/avg): 7/9/6.4 | reward(game/avg): 22720/23530 | 0.19 games/s | ETA: 5007s
[gpu0] [  44/1000] samples:   2200 | chain(game/max/avg): 5/9/6.3 | reward(game/avg): 19360/23435 | 0.20 games/s | ETA: 4888s
[gpu0] [  45/1000] samples:   2250 | chain(game/max/avg): 5/9/6.3 | reward(game/avg): 14140/23228 | 0.20 games/s | ETA: 4775s
[gpu0] [  46/1000] samples:   2300 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 20120/23161 | 0.20 games/s | ETA: 4666s
[gpu0] [  47/1000] samples:   2350 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 20840/23111 | 0.21 games/s | ETA: 4562s
[gpu0] [  48/1000] samples:   2400 | chain(game/max/avg): 5/9/6.3 | reward(game/avg): 10690/22852 | 0.21 games/s | ETA: 4463s
[gpu0] [  49/1000] samples:   2450 | chain(game/max/avg): 5/9/6.2 | reward(game/avg): 14360/22679 | 0.22 games/s | ETA: 4367s
[gpu0] [  50/1000] samples:   2500 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 17060/22567 | 0.22 games/s | ETA: 4276s
[gpu0] [  51/1000] samples:   2550 | chain(game/max/avg): 8/9/6.3 | reward(game/avg): 37200/22854 | 0.23 games/s | ETA: 4188s
[gpu0] [  52/1000] samples:   2600 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 16360/22729 | 0.23 games/s | ETA: 4103s
[gpu0] [  53/1000] samples:   2650 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 16560/22612 | 0.24 games/s | ETA: 4021s
[gpu0] [  54/1000] samples:   2700 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 18760/22541 | 0.24 games/s | ETA: 3943s
[gpu0] [  55/1000] samples:   2750 | chain(game/max/avg): 6/9/6.3 | reward(game/avg): 21040/22514 | 0.24 games/s | ETA: 3867s
[gpu0] [  56/1000] samples:   2800 | chain(game/max/avg): 5/9/6.2 | reward(game/avg): 13660/22356 | 0.25 games/s | ETA: 3794s
