[2026-04-07 13:21:02] --- Iteration 201 (sims=512, global_step=200000) ---
[2026-04-07 13:21:02] Self-play start (m=24, c_visit=50.0, num_gpus=1, games_per_gpu=1000, total=1000)
[gpu0]     Finished `release` profile [optimized] target(s) in 0.30s
[gpu0]      Running `target/release/self-play --games 1000 --simulations 512 --c-puct-init 1.5 --c-puct-base 19652.0 --m 24 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 512 --batch-size 2048 --num-leaves 1 --model-path runs/rtx5090-3/artifacts/puyo_model --cols 6 --rows 14 --num-colors 4 --residual-channels 128 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/rtx5090-3/data/alphazero_iter_201_gpu0.bin`
[gpu0] games=1000, simulations=512, c_puct_init=1.5, c_puct_base=19652, m=24, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
[gpu0] Game config: cols=6, rows=14, num_colors=4, residual_channels=128, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
[gpu0] Backend: Cuda (GPU) — Gumbel MCTS self-play (batched)
[gpu0] Loaded existing model from runs/rtx5090-3/artifacts/puyo_model
[gpu0] Using 512 game threads, max_batch_size=2048
[gpu0] [   1/1000] samples:     50 | chain(game/max/avg): 6/6/6.0 | reward(game/avg): 12660/12660 | 0.00 games/s | ETA: 214912s
[gpu0] [   2/1000] samples:    100 | chain(game/max/avg): 3/6/4.5 | reward(game/avg): 2800/7730 | 0.01 games/s | ETA: 108144s
[gpu0] [   3/1000] samples:    150 | chain(game/max/avg): 6/6/5.0 | reward(game/avg): 20640/12033 | 0.01 games/s | ETA: 72764s
[gpu0] [   4/1000] samples:    200 | chain(game/max/avg): 6/6/5.2 | reward(game/avg): 12860/12240 | 0.02 games/s | ETA: 54876s
[gpu0] [   5/1000] samples:    250 | chain(game/max/avg): 5/6/5.2 | reward(game/avg): 18370/13466 | 0.02 games/s | ETA: 44009s
[gpu0] [   6/1000] samples:    300 | chain(game/max/avg): 8/8/5.7 | reward(game/avg): 38340/17612 | 0.03 games/s | ETA: 36640s
[gpu0] [   7/1000] samples:    350 | chain(game/max/avg): 6/8/5.7 | reward(game/avg): 20080/17964 | 0.03 games/s | ETA: 31463s
[gpu0] [   8/1000] samples:    400 | chain(game/max/avg): 5/8/5.6 | reward(game/avg): 14610/17545 | 0.04 games/s | ETA: 27540s
[gpu0] [   9/1000] samples:    450 | chain(game/max/avg): 5/8/5.6 | reward(game/avg): 17280/17516 | 0.04 games/s | ETA: 24486s
[gpu0] [  10/1000] samples:    500 | chain(game/max/avg): 7/8/5.7 | reward(game/avg): 19920/17756 | 0.04 games/s | ETA: 22018s
[gpu0] [  11/1000] samples:    550 | chain(game/max/avg): 6/8/5.7 | reward(game/avg): 20500/18005 | 0.05 games/s | ETA: 19997s
[gpu0] [  12/1000] samples:    600 | chain(game/max/avg): 6/8/5.8 | reward(game/avg): 20830/18241 | 0.05 games/s | ETA: 18318s
[gpu0] [  13/1000] samples:    650 | chain(game/max/avg): 6/8/5.8 | reward(game/avg): 29060/19073 | 0.06 games/s | ETA: 16894s
[gpu0] [  14/1000] samples:    700 | chain(game/max/avg): 9/9/6.0 | reward(game/avg): 47180/21081 | 0.06 games/s | ETA: 15676s
[gpu0] [  15/1000] samples:    750 | chain(game/max/avg): 6/9/6.0 | reward(game/avg): 22670/21187 | 0.07 games/s | ETA: 14616s
[gpu0] [  16/1000] samples:    800 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 8320/20382 | 0.07 games/s | ETA: 13692s
[gpu0] [  17/1000] samples:    850 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 13690/19989 | 0.08 games/s | ETA: 12875s
[gpu0] [  18/1000] samples:    900 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 34000/20767 | 0.08 games/s | ETA: 12152s
[gpu0] [  19/1000] samples:    950 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 17600/20601 | 0.09 games/s | ETA: 11502s
[gpu0] [  20/1000] samples:   1000 | chain(game/max/avg): 8/9/6.0 | reward(game/avg): 28000/20970 | 0.09 games/s | ETA: 10917s
[gpu0] [  21/1000] samples:   1050 | chain(game/max/avg): 8/9/6.1 | reward(game/avg): 43240/22031 | 0.09 games/s | ETA: 10387s
[gpu0] [  22/1000] samples:   1100 | chain(game/max/avg): 8/9/6.2 | reward(game/avg): 30400/22411 | 0.10 games/s | ETA: 9911s
[gpu0] [  23/1000] samples:   1150 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 18980/22262 | 0.10 games/s | ETA: 9473s
[gpu0] [  24/1000] samples:   1200 | chain(game/max/avg): 6/9/6.2 | reward(game/avg): 30710/22614 | 0.11 games/s | ETA: 9071s
[gpu0] [  25/1000] samples:   1250 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 15200/22318 | 0.11 games/s | ETA: 8703s
[gpu0] [  26/1000] samples:   1300 | chain(game/max/avg): 7/9/6.2 | reward(game/avg): 25420/22437 | 0.12 games/s | ETA: 8360s
[gpu0] [  27/1000] samples:   1350 | chain(game/max/avg): 6/9/6.1 | reward(game/avg): 17300/22247 | 0.12 games/s | ETA: 8044s
[gpu0] [  28/1000] samples:   1400 | chain(game/max/avg): 6/9/6.1 | reward(game/avg): 27410/22431 | 0.13 games/s | ETA: 7749s
[gpu0] [  29/1000] samples:   1450 | chain(game/max/avg): 9/9/6.2 | reward(game/avg): 40660/23060 | 0.13 games/s | ETA: 7475s
[gpu0] [  30/1000] samples:   1500 | chain(game/max/avg): 4/9/6.2 | reward(game/avg): 15170/22797 | 0.13 games/s | ETA: 7218s
[gpu0] [  31/1000] samples:   1550 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 11820/22443 | 0.14 games/s | ETA: 6978s
[gpu0] [  32/1000] samples:   1600 | chain(game/max/avg): 7/9/6.2 | reward(game/avg): 33160/22778 | 0.14 games/s | ETA: 6754s
[gpu0] [  33/1000] samples:   1650 | chain(game/max/avg): 4/9/6.1 | reward(game/avg): 5560/22256 | 0.15 games/s | ETA: 6543s
[gpu0] [  34/1000] samples:   1700 | chain(game/max/avg): 6/9/6.1 | reward(game/avg): 16360/22082 | 0.15 games/s | ETA: 6345s
[gpu0] [  35/1000] samples:   1750 | chain(game/max/avg): 7/9/6.1 | reward(game/avg): 30460/22322 | 0.16 games/s | ETA: 6158s
[gpu0] [  36/1000] samples:   1800 | chain(game/max/avg): 8/9/6.2 | reward(game/avg): 35590/22690 | 0.16 games/s | ETA: 5981s
[gpu0] [  37/1000] samples:   1850 | chain(game/max/avg): 4/9/6.1 | reward(game/avg): 7330/22275 | 0.17 games/s | ETA: 5813s
[gpu0] [  38/1000] samples:   1900 | chain(game/max/avg): 7/9/6.1 | reward(game/avg): 24300/22328 | 0.17 games/s | ETA: 5654s
[gpu0] [  39/1000] samples:   1950 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 10060/22014 | 0.17 games/s | ETA: 5504s
[gpu0] [  40/1000] samples:   2000 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 10640/21730 | 0.18 games/s | ETA: 5361s
[gpu0] [  41/1000] samples:   2050 | chain(game/max/avg): 7/9/6.1 | reward(game/avg): 30870/21952 | 0.18 games/s | ETA: 5225s
[gpu0] [  42/1000] samples:   2100 | chain(game/max/avg): 5/9/6.1 | reward(game/avg): 18600/21873 | 0.19 games/s | ETA: 5095s
[gpu0] [  43/1000] samples:   2150 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 19690/21822 | 0.19 games/s | ETA: 4972s
[gpu0] [  44/1000] samples:   2200 | chain(game/max/avg): 4/9/6.0 | reward(game/avg): 7480/21496 | 0.20 games/s | ETA: 4854s
[gpu0] [  45/1000] samples:   2250 | chain(game/max/avg): 8/9/6.0 | reward(game/avg): 31820/21725 | 0.20 games/s | ETA: 4742s
[gpu0] [  46/1000] samples:   2300 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 15740/21595 | 0.21 games/s | ETA: 4634s
[gpu0] [  47/1000] samples:   2350 | chain(game/max/avg): 5/9/6.0 | reward(game/avg): 14560/21446 | 0.21 games/s | ETA: 4531s
[gpu0] [  48/1000] samples:   2400 | chain(game/max/avg): 3/9/5.9 | reward(game/avg): 2300/21047 | 0.21 games/s | ETA: 4432s
[gpu0] [  49/1000] samples:   2450 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 19730/21020 | 0.22 games/s | ETA: 4337s
[gpu0] [  50/1000] samples:   2500 | chain(game/max/avg): 7/9/6.0 | reward(game/avg): 31890/21237 | 0.22 games/s | ETA: 4246s
[gpu0] [  51/1000] samples:   2550 | chain(game/max/avg): 6/9/6.0 | reward(game/avg): 15100/21117 | 0.23 games/s | ETA: 4159s
[gpu0] [  52/1000] samples:   2600 | chain(game/max/avg): 6/9/6.0 | reward(game/avg): 20720/21109 | 0.23 games/s | ETA: 4075s
[gpu0] [  53/1000] samples:   2650 | chain(game/max/avg): 6/9/6.0 | reward(game/avg): 29030/21259 | 0.24 games/s | ETA: 3994s
[gpu0] [  54/1000] samples:   2700 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 15480/21152 | 0.24 games/s | ETA: 3916s
[gpu0] [  55/1000] samples:   2750 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 13520/21013 | 0.25 games/s | ETA: 3841s
[gpu0] [  56/1000] samples:   2800 | chain(game/max/avg): 6/9/5.9 | reward(game/avg): 22220/21034 | 0.25 games/s | ETA: 3768s
[gpu0] [  57/1000] samples:   2850 | chain(game/max/avg): 7/9/5.9 | reward(game/avg): 26300/21127 | 0.25 games/s | ETA: 3698s
[gpu0] [  58/1000] samples:   2900 | chain(game/max/avg): 7/9/6.0 | reward(game/avg): 21340/21131 | 0.26 games/s | ETA: 3631s
[gpu0] [  59/1000] samples:   2950 | chain(game/max/avg): 5/9/5.9 | reward(game/avg): 16780/21057 | 0.26 games/s | ETA: 3566s
