[2026-04-05 05:00:44] === AlphaZero Loop Start (branch=develop, run_dir=runs/develop, iteration=401, games=300, sims=64+0/iter, max=64, min_chain=0, threads=128) ===
[2026-04-05 05:00:44] --- Iteration 401 (sims=64, global_step=400000) ---
[2026-04-05 05:00:44] Self-play start (m=16, c_visit=50.0)
    Finished `release` profile [optimized] target(s) in 6.80s
     Running `target/release/self-play --games 300 --simulations 64 --c-puct-init 1.5 --c-puct-base 19652.0 --m 16 --c-visit 50.0 --gamma 0.95 --min-chain 0 --threads 128 --batch-size 512 --num-leaves 1 --model-path runs/develop/artifacts/puyo_model --cols 3 --rows 8 --num-colors 3 --residual-channels 64 --num-blocks 6 --policy-conv-channels 2 --value-conv-channels 1 --value-hidden 64 --film-hidden 128 --output runs/develop/data/alphazero_iter_401.bin`
games=300, simulations=64, c_puct_init=1.5, c_puct_base=19652, m=16, c_visit=50, gamma=0.95, num_leaves=1, min_chain=0
Game config: cols=3, rows=8, num_colors=3, residual_channels=64, num_blocks=6, policy_conv_ch=2, value_conv_ch=1, value_hidden=64, film_hidden=128
Backend: CudaJit (GPU) — Gumbel MCTS self-play (batched)
Loaded existing model from runs/develop/artifacts/puyo_model
Using 128 game threads, max_batch_size=512
[  39/300] samples:   1865 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7700/8276 | 2.11 games/s | ETA: 124s
[  40/300] samples:   1915 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9540/8308 | 2.16 games/s | ETA: 120s
[  41/300] samples:   1965 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8560/8314 | 2.21 games/s | ETA: 117s
[  42/300] samples:   2015 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9240/8336 | 2.27 games/s | ETA: 114s
[  43/300] samples:   2065 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9860/8372 | 2.32 games/s | ETA: 111s
[  44/300] samples:   2115 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 8280/8370 | 2.37 games/s | ETA: 108s
[  45/300] samples:   2165 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8050/8362 | 2.42 games/s | ETA: 105s
[  46/300] samples:   2215 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9220/8381 | 2.48 games/s | ETA: 103s
[  47/300] samples:   2265 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8420/8382 | 2.53 games/s | ETA: 100s
[  48/300] samples:   2315 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 7200/8357 | 2.58 games/s | ETA: 98s
[  49/300] samples:   2365 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8520/8361 | 2.64 games/s | ETA: 95s
[  50/300] samples:   2415 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 7000/8333 | 2.69 games/s | ETA: 93s
[  51/300] samples:   2465 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 10800/8382 | 2.74 games/s | ETA: 91s
[  52/300] samples:   2515 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8620/8386 | 2.79 games/s | ETA: 89s
[  53/300] samples:   2565 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8100/8381 | 2.85 games/s | ETA: 87s
[  54/300] samples:   2615 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8760/8388 | 2.90 games/s | ETA: 85s
[  55/300] samples:   2665 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8200/8385 | 2.95 games/s | ETA: 83s
[  56/300] samples:   2715 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 6860/8357 | 3.00 games/s | ETA: 81s
[  57/300] samples:   2765 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 8660/8363 | 3.06 games/s | ETA: 80s
[  58/300] samples:   2815 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 11080/8409 | 3.11 games/s | ETA: 78s
[  59/300] samples:   2865 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 5900/8367 | 3.16 games/s | ETA: 76s
[  60/300] samples:   2915 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8520/8370 | 3.21 games/s | ETA: 75s
[  61/300] samples:   2965 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7380/8353 | 3.27 games/s | ETA: 73s
[  62/300] samples:   3015 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 10140/8382 | 3.32 games/s | ETA: 72s
[  63/300] samples:   3065 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 10900/8422 | 3.37 games/s | ETA: 70s
[  64/300] samples:   3115 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9660/8441 | 3.42 games/s | ETA: 69s
[  65/300] samples:   3165 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8180/8437 | 3.47 games/s | ETA: 68s
[  66/300] samples:   3215 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 11380/8482 | 3.53 games/s | ETA: 66s
[  67/300] samples:   3265 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 10300/8509 | 3.58 games/s | ETA: 65s
[  68/300] samples:   3315 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8500/8509 | 3.63 games/s | ETA: 64s
[  69/300] samples:   3365 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8180/8504 | 3.67 games/s | ETA: 63s
[  70/300] samples:   3415 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9520/8519 | 3.71 games/s | ETA: 62s
[  71/300] samples:   3465 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8520/8519 | 3.77 games/s | ETA: 61s
[  72/300] samples:   3515 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 8000/8512 | 3.82 games/s | ETA: 60s
[  73/300] samples:   3565 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 7700/8500 | 3.87 games/s | ETA: 59s
[  74/300] samples:   3615 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 7490/8487 | 3.92 games/s | ETA: 58s
[  75/300] samples:   3665 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 9080/8495 | 3.97 games/s | ETA: 57s
[  76/300] samples:   3715 | chain(game/max/avg): 4/4/3.8 | reward(game/avg): 8360/8493 | 4.03 games/s | ETA: 56s
[  77/300] samples:   3765 | chain(game/max/avg): 3/4/3.8 | reward(game/avg): 6660/8469 | 4.08 games/s | ETA: 55s
[  78/300] samples:   3815 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 9420/8481 | 4.13 games/s | ETA: 54s
[  79/300] samples:   3865 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9360/8492 | 4.18 games/s | ETA: 53s
[  80/300] samples:   3915 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 5420/8454 | 4.23 games/s | ETA: 52s
[  81/300] samples:   3965 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9840/8471 | 4.28 games/s | ETA: 51s
[  82/300] samples:   4015 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 7760/8462 | 4.33 games/s | ETA: 50s
[  83/300] samples:   4065 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 6740/8442 | 4.39 games/s | ETA: 49s
[  84/300] samples:   4115 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7940/8436 | 4.44 games/s | ETA: 49s
[  85/300] samples:   4165 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9120/8444 | 4.49 games/s | ETA: 48s
[  86/300] samples:   4215 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7560/8433 | 4.54 games/s | ETA: 47s
[  87/300] samples:   4265 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 6320/8409 | 4.59 games/s | ETA: 46s
[  88/300] samples:   4315 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 8080/8405 | 4.64 games/s | ETA: 46s
[  89/300] samples:   4365 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 8770/8410 | 4.70 games/s | ETA: 45s
[  90/300] samples:   4415 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9140/8418 | 4.75 games/s | ETA: 44s
[  91/300] samples:   4465 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 7880/8412 | 4.80 games/s | ETA: 44s
[  92/300] samples:   4515 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 8660/8414 | 4.85 games/s | ETA: 43s
[  93/300] samples:   4565 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9960/8431 | 4.90 games/s | ETA: 42s
[  94/300] samples:   4615 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9140/8439 | 4.95 games/s | ETA: 42s
[  95/300] samples:   4665 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 9440/8449 | 5.00 games/s | ETA: 41s
[  96/300] samples:   4715 | chain(game/max/avg): 3/4/3.7 | reward(game/avg): 8820/8453 | 5.05 games/s | ETA: 40s
[  97/300] samples:   4765 | chain(game/max/avg): 4/4/3.7 | reward(game/avg): 10420/8473 | 5.10 games/s | ETA: 40s
